Пользователь: matvej
  UID   PID TTY           TIME CMD
  501   527 ??         0:01.58 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuQ2xvdWREb2NzLmlDbG91ZERyaXZlRmlsZVByb3ZpZGVyIn0=
  501   528 ??         0:01.55 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  501   531 ??         0:31.98 /usr/libexec/spotlightknowledged.updater -u
  501   532 ??         0:00.49 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  501   533 ??         0:01.55 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  501   534 ??         0:00.84 /usr/libexec/milod
  501   535 ??         0:02.78 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   536 ??         0:00.85 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  501   537 ??         0:00.44 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  501   538 ??         0:00.42 /System/Library/CoreServices/pbs
  501   539 ??         0:16.95 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  501   540 ??         0:00.04 /usr/libexec/assessmentagent
  501   541 ??         0:11.41 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  501   542 ??         0:00.18 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
  501   543 ??         0:33.09 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  501   544 ??         2:57.31 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  501   545 ??         0:06.50 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
