Пользователь: matvej
  PID TTY           TIME CMD
  507 ??         0:00.14 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
  508 ??         0:05.53 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  510 ??         0:00.03 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  511 ??         0:02.64 /usr/libexec/transparencyd
  512 ??         0:00.40 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  513 ??         0:00.24 /usr/libexec/findmylocateagent
  515 ??         0:00.04 /usr/libexec/assessmentagent
  516 ??         0:06.81 /usr/libexec/sharingd
  518 ??         0:04.02 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  519 ??         0:25.72 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  520 ??         0:00.08 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  521 ??         0:00.10 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  522 ??         0:00.09 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
  524 ??         0:00.17 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  525 ??         0:01.53 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  526 ??         0:11.68 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  527 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  529 ??         0:02.87 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  530 ??         0:50.51 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  531 ??         0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  532 ??         0:00.21 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5DbG91ZERvY3MuaUNsb3VkRHJpdmVGaWxlUHJvdmlkZXIiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  533 ??         0:00.62 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  535 ??         0:00.02 /System/Library/CoreServices/ReportCrash agent
  536 ??         0:00.12 /System/Library/CoreServices/pbs
  537 ??         0:18.60 /usr/libexec/spotlightknowledged.updater -u
  538 ??         0:13.38 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  540 ??         0:01.72 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  542 ??         0:00.14 /usr/libexec/milod
  543 ??         0:00.79 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  544 ??         0:00.03 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
  545 ??         0:00.23 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  546 ??         0:00.26 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  547 ??         0:00.39 /usr/libexec/neagent
  548 ??         0:04.10 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  549 ??         0:07.55 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  550 ??         0:02.20 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  551 ??         0:02.76 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
  555 ??         0:00.04 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  557 ??         0:01.96 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  558 ??         0:00.08 /System/Library/Image Capture/Support/icdd
  559 ??         0:01.36 /System/Library/CoreServices/appplaceholdersyncd
  560 ??         0:00.98 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  563 ??         0:00.10 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  564 ??         0:37.83 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Contents/MacOS/Creative Cloud --showwindow=false --onOSstartup=true
  565 ??         0:00.46 /System/Library/CoreServices/diagnostics_agent
  566 ??         0:00.55 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  568 ??         0:01.95 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  570 ??         0:00.27 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  571 ??         0:00.66 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  573 ??         0:00.45 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
  574 ??         0:01.00 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  575 ??         0:02.43 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  576 ??         0:00.60 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
  578 ??         0:03.86 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  580 ??         0:00.26 /usr/libexec/MTLAssetUpgraderD
  581 ??         0:02.84 /usr/libexec/swcd
  582 ??         1:49.12 /usr/libexec/duetexpertd
  583 ??         0:00.05 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
  584 ??         0:03.91 /usr/libexec/siriknowledged
  585 ??         0:00.04 /System/Library/Frameworks/FamilyControls.framework/Versions/A/FamilyControlsAgent
  586 ??         0:02.57 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  587 ??         0:00.05 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
